fg	bg	min	level	note
text	bg	4.5	fail	Body copy on the page. The single most important pair on the site.
text	surface-1	4.5	fail	Body copy inside a code block or inset panel.
text	surface-2	4.5	fail	Body copy inside a callout, and a table row under the cursor.
text-strong	bg	4.5	fail	Headings and the first cell of every table row.
text-soft	bg	4.5	fail	Ledes and captions. Real prose despite the name -- it is the search-result text.
text-soft	surface-2	4.5	fail	The same soft text where a callout or hovered row sits behind it.
accent	bg	4.5	fail	Links. Colour is not the only signal (they are underlined) but they must still be read.
accent	surface-2	4.5	fail	A link inside a callout.
on-accent	accent	4.5	fail	The Unlock button's label on its own fill.
on-chrome	chrome	4.5	fail	The site title and header icons on the banner.
marker	bg	4.5	warn	The [To be confirmed] pill and the gate label. WARN pending a measured run -- promote to fail once a build has printed a real number.
bad	bg	4.5	warn	Dead-link markers and error text. WARN for the same reason as marker.
border	bg	3.0	warn	Input outlines and the table header rule. 3.0 is the WCAG floor for non-text UI. ⚠️ EVERY palette we ship currently fails this -- the hairline look trades it away deliberately. WARN so the shortfall stays visible instead of being deleted; see theme/README.md.
marker	surface-2	3.0	warn	NEW: the caution callout's border and icon against its own tinted title bar. 3.0 not 4.5 -- it is a rule and a glyph, not text; the words in that bar are text-strong, measured above.
bad	surface-2	3.0	warn	NEW: the danger callout's border and icon. Same reasoning. ⚠️ These two pairs have NEVER been measured by anything: until 2026-08-01 the callout tints were Material's hardcoded blues and ambers, which this gate cannot see because they are not tokens. Read the first build's numbers.
accent-hover	bg	3.0	warn	NEW: was only a link's hover state, so it was never measured at rest. It is now ALSO the info/tip callout's border and icon, which sits still on the page and has to hold up.
accent-hover	surface-2	3.0	warn	The same, against its own tinted title bar.
